"","govact","posemot","negemot","ideology","age","sex","partyid"
"1",3.6,3.67,4.67,6,61,0,2
"2",5,2,2.33,2,55,0,1
"3",6.6,2.33,3.67,1,85,1,1
"4",1,5,5,1,59,0,1
"5",4,2.33,1.67,4,22,1,1
"6",7,1,6,3,34,0,2
"7",6.8,2.33,4,4,47,1,1
"8",5.6,4,5.33,5,65,1,1
"9",6,5,6,4,50,1,2
"10",2.6,5,2,7,60,1,3
"11",1.4,1,1,6,71,1,2
"12",5.6,4,4,4,60,0,1
"13",7,1,5,2,71,1,1
"14",3.8,5.67,4.67,4,59,0,1
"15",3.4,3,2,5,32,1,1
"16",4.2,1.67,1,2,36,1,1
"17",1,6,1,6,69,1,2
"18",2.6,4,2.33,4,70,0,3
"19",5.2,3.33,4,2,41,0,1
"20",5.8,1.33,2.67,4,48,0,3
"21",5.4,3.67,5.67,4,38,0,2
"22",5.4,2,5,2,63,1,1
"23",6.4,4.33,2.33,6,71,1,3
"24",5,3,4.67,4,71,1,2
"25",5.4,3.67,4.67,4,60,1,1
"26",5.8,3.67,5.67,3,76,1,1
"27",3.6,4,3.33,4,58,1,1
"28",4.6,4.67,3.33,5,71,0,3
"29",5.2,2.33,3,4,63,0,1
"30",3.8,4.33,1.33,5,79,1,1
"31",4.2,2.33,4.33,4,68,0,1
"32",3.4,2.33,2.33,2,32,1,1
"33",2.2,2.67,5,7,76,1,3
"34",5.2,2,6,5,50,0,2
"35",5.2,4,3.67,4,72,0,2
"36",4,3.67,2.33,4,51,1,2
"37",7,3.67,5.33,4,60,1,1
"38",1,4,1,7,76,1,3
"39",5.4,1.33,3.33,3,34,0,1
"40",4.8,5,5.33,4,51,0,2
"41",6,4,3,3,49,0,1
"42",3.6,1.67,2,5,58,0,3
"43",5.2,4,5,2,45,0,1
"44",3.8,3.67,4.33,4,57,1,3
"45",4.8,3,3,5,46,0,3
"46",2.4,4.67,1.33,5,69,1,3
"47",6,5,1.67,5,70,0,3
"48",4.8,2.67,3,6,69,0,3
"49",4.6,1,3,4,58,1,1
"50",4,3,2,5,80,1,3
"51",3.4,1.67,2.67,6,64,1,3
"52",1,1,1,7,42,1,3
"53",3.6,3.33,1.67,6,71,1,3
"54",4.6,3,3.67,6,40,1,3
"55",4,4,3.33,1,43,0,1
"56",4.6,2,2,2,44,0,1
"57",5,4,3,4,40,0,1
"58",4.6,4.67,3.33,3,77,1,3
"59",3.4,1,5.33,5,73,1,2
"60",5.6,1.67,5.33,5,63,1,2
"61",6.4,2,4,3,47,0,1
"62",3.8,2,2,4,41,0,3
"63",5.8,3.33,4,2,64,1,1
"64",4.6,4,3,4,57,0,2
"65",4.4,4,3,4,41,0,3
"66",3.8,2.67,1.33,6,43,0,3
"67",1,2.67,1.67,6,52,1,3
"68",5.6,1,3,4,37,0,2
"69",3.6,1,1,2,68,0,1
"70",6.8,4.67,4,4,60,0,3
"71",7,5,4.67,1,40,1,1
"72",5.2,3.67,4.33,6,72,1,2
"73",5.8,2.67,4,2,57,1,1
"74",6.6,2,4.67,2,85,1,1
"75",5.2,2.33,3.33,3,52,0,1
"76",4,2.67,3.33,1,55,1,2
"77",5.4,1,4.33,4,42,0,3
"78",5,3.67,4.67,3,34,1,1
"79",2.2,1,1,4,40,0,2
"80",4.4,1.33,4,6,55,0,3
"81",3.6,3,3,5,73,1,2
"82",6,3.33,5.33,4,67,0,1
"83",2.8,3.67,3.33,3,65,0,1
"84",2.2,1,1,1,63,1,2
"85",5.8,5,3.33,1,50,0,1
"86",3.8,5,1.33,4,52,1,3
"87",3,2.67,2,4,72,1,3
"88",3.8,3.33,4.33,5,75,1,3
"89",2.8,2.33,1,4,54,1,2
"90",4,2.67,3.67,4,38,0,2
"91",4.2,5,2.67,4,61,0,2
"92",4,3.33,2.67,6,47,0,3
"93",2.2,2.67,2,4,45,1,2
"94",5.2,2.67,4,2,55,0,1
"95",4,3.67,3.67,6,72,0,3
"96",4.6,2,3.33,3,40,0,1
"97",5.6,2.33,4.33,4,52,0,3
"98",4.2,5,5.33,2,42,1,1
"99",5.2,4.33,5.33,2,73,0,1
"100",4.8,4,4.67,4,32,1,3
"101",5,1.33,3.33,4,41,0,2
"102",1.4,4.33,1.33,7,69,1,3
"103",6.2,1,5.33,2,44,0,1
"104",2.8,2.33,1.33,5,67,1,3
"105",5.2,2,3,3,53,0,1
"106",7,2.33,5,5,67,1,1
"107",3.2,3.33,2.33,6,60,1,2
"108",5.6,2,4.33,6,54,1,3
"109",3,3,1,6,61,1,3
"110",5,1.33,2,4,39,1,2
"111",4.8,1.33,2,6,70,1,3
"112",4.4,3.67,2.67,4,63,0,1
"113",4.6,3,5.67,2,64,1,1
"114",3.6,6,1.67,7,69,1,3
"115",5,3.33,4.67,4,84,1,1
"116",4,3,2,2,54,0,1
"117",4.2,4.33,3.67,4,41,0,1
"118",5,3,4.33,2,68,1,1
"119",6.2,2,4.67,3,57,0,1
"120",6.6,2.67,4,4,42,0,1
"121",5,1.67,5.67,4,41,0,3
"122",1,6,1,7,43,0,3
"123",6.4,1.67,3.67,2,42,0,1
"124",5.6,1,5,4,33,1,2
"125",4.8,4.33,3,4,71,0,2
"126",2.4,2.67,2.33,4,67,1,3
"127",4.2,3,3.33,6,69,0,3
"128",4.2,3.67,3,3,57,1,1
"129",2.8,4.67,1,5,70,1,3
"130",5.4,2.67,2,6,60,1,3
"131",3.4,1,2.33,6,76,1,3
"132",5.4,4,2.67,4,33,0,1
"133",3.6,3.67,2,5,78,1,3
"134",1,2,1,6,67,1,3
"135",5.2,4,3,6,53,0,3
"136",6,3.67,4,4,51,1,2
"137",4.8,2.67,3.33,4,40,0,1
"138",2.8,1,2.67,7,44,1,2
"139",3.8,2.67,1,4,52,0,2
"140",3.6,2,2,6,63,1,3
"141",1.4,1.67,2.67,5,76,1,3
"142",4.6,5,5,1,28,0,1
"143",5.6,2.33,5.67,6,67,1,3
"144",6,4.33,6,4,71,1,1
"145",4,1,1,4,41,1,2
"146",4.4,3.33,2.67,4,66,1,1
"147",4,4,4,4,39,0,2
"148",1.4,1,1,7,73,1,3
"149",4.8,1,5,5,51,0,1
"150",3.8,3.33,3.33,6,79,0,2
"151",6,5,2.67,4,67,0,1
"152",4.6,1,4,1,53,0,1
"153",1,1,1,7,59,1,3
"154",5.8,2,4.67,4,66,1,1
"155",4.6,4.33,1.67,3,75,1,1
"156",3,1.33,3.33,5,83,1,2
"157",5,3,4,3,74,1,1
"158",5.6,3.33,5,5,66,1,1
"159",6.2,1.33,5.67,2,42,0,1
"160",5,1.67,1.33,3,37,0,2
"161",6.6,4.67,2.67,5,55,1,1
"162",4.8,1,3.67,2,51,0,1
"163",4.8,5.67,4.33,5,69,1,1
"164",5.4,3.67,1.33,7,63,1,3
"165",5.6,4.67,3.33,4,73,1,1
"166",4.4,2.33,2.67,3,61,1,1
"167",4.2,2.33,3,6,65,1,3
"168",6.4,2,2,4,56,1,2
"169",4.6,4,5,4,49,1,1
"170",5.2,3.67,2.67,3,77,1,1
"171",6.6,1.67,5.33,2,44,0,1
"172",4.4,2.67,2,4,63,1,1
"173",1,4,1,7,54,1,3
"174",7,3,6,1,40,0,1
"175",1.6,5,1.67,4,72,1,3
"176",4.6,5,1.67,3,48,1,3
"177",3.6,2.67,4,4,42,1,3
"178",3.4,3,3.33,6,67,0,3
"179",3.8,4.33,2,4,26,0,1
"180",4,2,1,4,56,0,1
"181",4.8,4.33,4.33,4,54,1,1
"182",5.6,4,2.67,3,46,0,1
"183",4.4,4,4,5,29,0,1
"184",4.8,2.33,1.67,6,68,1,1
"185",4,3,3,4,41,0,1
"186",4.8,1.33,6,5,64,0,3
"187",4,2.33,1.67,4,50,1,3
"188",5.8,3.33,4,1,56,1,1
"189",1,1,1,6,70,1,3
"190",4.4,4,4,3,33,1,2
"191",4.4,1,2,5,57,1,3
"192",4.8,1,1,5,70,0,3
"193",6.2,3.33,3.67,4,83,1,2
"194",5.8,2,4.33,4,21,1,1
"195",5,1,4,4,57,0,1
"196",4.4,3.67,3.67,3,59,1,1
"197",5.8,2.33,5,6,72,1,3
"198",2,2.33,2,7,48,1,3
"199",4,3,3,6,29,1,2
"200",4.4,4.67,3.67,2,53,1,3
"201",4.4,3.67,3.33,4,29,1,1
"202",4.6,3.67,1,4,33,0,2
"203",5.2,1,5,2,29,0,1
"204",4,4.67,4.67,7,46,0,1
"205",4.8,4.33,4.67,2,57,0,1
"206",5.4,4.67,3,2,49,0,2
"207",2.2,1.67,2,4,27,1,2
"208",5.2,2.67,4.67,4,29,1,1
"209",1.6,1,1,7,64,0,3
"210",5.8,4,1.67,4,61,0,2
"211",5.6,3.67,3.33,4,25,0,1
"212",5.8,2.67,4.67,4,40,0,1
"213",2.4,3.33,3,7,62,1,3
"214",6.6,2,6,3,70,1,1
"215",4,2.67,5,7,50,0,2
"216",5.4,2.33,6,2,30,0,1
"217",3.6,3,3.33,4,27,1,2
"218",3.8,4.33,2.67,4,41,0,1
"219",1,2,2,6,60,1,3
"220",3.4,3.67,1.33,5,69,0,3
"221",5.8,4,5,2,37,0,1
"222",1,1,1,6,64,1,3
"223",2.6,5,2.33,4,66,0,3
"224",4.6,2,3,5,32,0,3
"225",3.8,2.33,5,4,67,0,1
"226",3.2,5,2,6,62,1,3
"227",3.6,3.33,4.33,6,72,1,3
"228",5.2,2.67,4.33,4,63,1,2
"229",1,1.67,1,6,68,1,3
"230",4.2,3,1,7,41,0,3
"231",5.8,2.33,5,4,31,0,1
"232",5.2,2,4.67,4,51,0,1
"233",6,2.67,5,4,30,0,3
"234",5.6,4.33,3,4,78,1,1
"235",4,3.33,2.67,2,62,0,1
"236",4.8,3,4,5,77,0,3
"237",5.2,2,3.33,6,46,0,3
"238",4.4,2.67,4,2,36,0,1
"239",4.2,4,3.67,4,34,1,1
"240",3.6,5,3,6,42,0,3
"241",5.4,1.67,5.67,2,25,0,1
"242",4.8,1.33,4,7,26,1,3
"243",6.8,4,3.33,4,59,1,2
"244",4.4,1,1,4,30,0,2
"245",4.6,1,2.67,4,60,0,1
"246",6.4,1,4.67,5,27,1,3
"247",2.6,2.67,5,4,51,1,1
"248",5.4,1.67,5,3,48,0,1
"249",6.2,5,5.33,3,49,1,1
"250",5.6,4.67,3,4,75,0,1
"251",4.8,2.67,6,4,46,1,2
"252",4.6,4.33,4.67,3,66,1,1
"253",5,2,5.33,7,64,1,3
"254",5.6,5,3.67,2,35,1,1
"255",3.4,1,6,4,65,0,2
"256",5.8,4.33,4,3,77,0,1
"257",5.6,3,3.33,7,71,1,3
"258",5.6,4.33,5,5,54,0,3
"259",2,4.67,2.67,6,29,1,3
"260",5.6,3.67,5,2,70,0,3
"261",6.4,4.33,6,4,65,0,1
"262",3.4,1,3.67,4,27,1,2
"263",5,3.67,5,4,72,0,2
"264",5,3.33,2.33,4,67,1,1
"265",4,1,1,4,67,0,1
"266",5,2,2.67,3,73,1,1
"267",3.8,3.67,3,4,36,0,2
"268",6.6,2,5.67,3,58,1,1
"269",4,3,3,4,34,0,1
"270",4.2,1.33,4.33,4,53,0,1
"271",5.2,6,4,2,25,1,1
"272",5.2,1.67,3,2,33,0,1
"273",5.2,5,5,4,64,0,1
"274",3.2,4.67,2.33,5,80,0,1
"275",4.8,4,3.33,4,41,0,1
"276",4,4,4,4,27,1,1
"277",3.4,5,1,4,52,0,1
"278",3.8,3,3.67,4,28,0,2
"279",5.8,3,6,4,67,1,3
"280",6,4.67,4.67,2,25,0,2
"281",5,1.33,1.67,4,61,0,1
"282",2.2,1,1,7,68,1,3
"283",4.2,2,1.33,4,25,1,2
"284",5.2,5,5,2,27,1,2
"285",4,4.33,4,3,23,1,1
"286",4.8,5,3.67,4,65,1,1
"287",4.8,1,1,5,66,1,1
"288",4.6,1,1,2,50,1,1
"289",5,3,1.33,6,64,1,3
"290",4,4.67,5,4,33,0,1
"291",2.2,6,2.67,4,59,1,1
"292",5.2,4,4.67,4,79,1,1
"293",4.4,2.67,2.67,5,72,1,3
"294",5.6,5.33,4.67,6,60,0,1
"295",6,2.67,6,4,62,0,3
"296",5.8,3.33,4.33,2,63,1,1
"297",3.8,3.67,3,4,30,1,2
"298",3.6,3,2,4,67,1,2
"299",4.2,5.33,3.67,4,45,0,1
"300",4.8,2,6,2,41,0,1
"301",2.2,4.33,2,6,61,1,3
"302",1.2,4,1,7,62,1,3
"303",3.2,2.33,1.67,5,66,0,2
"304",1,1,1,4,46,1,2
"305",1,1,1,6,73,1,3
"306",5.6,3.67,4.33,4,60,1,2
"307",6.8,5,5.67,2,60,0,1
"308",4.2,4,1.33,4,65,1,2
"309",5.6,1.67,5,7,63,1,3
"310",5.4,3.67,4,5,59,0,3
"311",7,2,5.67,1,82,1,1
"312",4.4,2,6,4,55,1,3
"313",7,5.33,6,4,55,1,3
"314",5.6,4,2.33,5,67,1,3
"315",4,4,4,4,29,1,2
"316",5,3,4,2,68,1,1
"317",7,5.33,5.33,1,57,0,1
"318",5.6,2.67,5.67,2,72,1,1
"319",3.6,3,5,4,29,0,1
"320",6.6,2,5,1,26,0,1
"321",5.6,2,5.33,1,50,1,1
"322",1,1,1,6,58,1,3
"323",6.4,4,6,4,64,1,2
"324",2.2,4.67,1.67,4,60,1,2
"325",5.8,3.67,5,2,67,0,1
"326",5,1,1,1,34,0,1
"327",4.4,2.33,3.67,3,59,0,1
"328",4.6,1.67,1.67,5,23,1,3
"329",5.4,3.33,4.67,3,21,0,1
"330",4,2.67,1.33,4,27,1,2
"331",2.2,6,1,7,65,1,3
"332",3.6,2.33,4.33,4,30,0,2
"333",5,6,1,7,42,0,3
"334",3.4,1.67,3.67,5,53,0,3
"335",1.4,4.67,1.33,7,40,1,3
"336",3.8,2,1.67,6,44,0,3
"337",5.4,3.67,5.33,4,27,1,3
"338",5.2,1.67,2.33,3,22,0,3
"339",5.2,5,3.67,5,55,0,3
"340",4.4,2.67,3.67,4,72,0,1
"341",4.6,4.33,3.67,2,24,0,1
"342",4.2,5.33,4,5,63,0,3
"343",4.8,4,3,5,63,0,1
"344",6,4,2.67,2,68,0,1
"345",6,5,6,4,35,0,2
"346",6.2,4.33,4.33,4,47,0,2
"347",4.6,2.67,1.33,4,41,0,1
"348",1.2,2,2.67,5,68,1,2
"349",5,5,2.33,4,68,1,3
"350",2.4,4,1,6,42,0,3
"351",4,2.67,1.33,5,73,1,3
"352",5.8,2,4,4,25,1,1
"353",3.6,3.33,2,5,61,1,3
"354",5.2,1,3.67,5,55,0,3
"355",3.6,2.67,1,4,34,1,2
"356",4.4,1,5.67,5,66,0,1
"357",4.8,2,5,2,65,0,2
"358",7,1.33,6,5,40,0,1
"359",5.2,2.33,4.67,3,30,1,1
"360",3.4,1,4.33,4,42,0,1
"361",4.2,4.33,2,7,53,1,3
"362",4,4,4,2,60,1,1
"363",4.8,1,1.33,4,20,0,2
"364",3,3,1,6,67,0,3
"365",5.8,5,4.67,3,68,0,1
"366",2.8,4.33,2.67,4,26,1,2
"367",6.2,2.33,5.33,1,48,1,1
"368",3.6,3.33,3,6,64,1,3
"369",2.8,4,1.33,4,62,1,1
"370",4,4,3.33,2,21,0,1
"371",4.8,5,5.33,4,73,1,1
"372",4.2,5,3.67,4,57,0,1
"373",5.8,4.33,4,3,71,1,1
"374",4,4,4.33,4,55,0,2
"375",5.8,3,3.67,1,26,0,1
"376",3.4,1.67,3.33,5,83,0,2
"377",4,5.33,2,2,47,0,1
"378",5,2,2.67,6,57,1,3
"379",4.6,2,3.33,4,35,0,1
"380",1,6,1,4,71,1,3
"381",5.2,2.67,1.33,6,29,0,3
"382",4.2,4,3,6,76,1,3
"383",5.6,2.67,4,2,55,0,2
"384",3.6,3.33,4.67,4,28,1,2
"385",5.2,3.33,5.33,4,58,0,2
"386",5.2,2,2,4,47,0,1
"387",4.6,3.67,3.33,2,30,1,1
"388",2.2,5.33,1,6,52,1,3
"389",7,1,3.67,3,31,1,1
"390",3.6,2.33,4.67,6,62,1,3
"391",6.4,3.33,6,7,72,1,3
"392",5.8,3.67,5,6,50,0,3
"393",4.4,2.33,2.67,4,29,0,1
"394",6.4,4,3.33,1,45,0,1
"395",4.6,4.33,4,4,65,0,2
"396",5.2,2.67,4,4,37,0,3
"397",5.6,4,3.67,5,30,0,3
"398",6,2.33,3.67,7,44,0,3
"399",4.8,4.67,3.33,4,65,1,3
"400",5.6,3.33,3,4,41,1,2
"401",4,4,4,4,38,1,1
"402",5.2,2.33,3.67,3,59,0,3
"403",5.2,3,3.33,3,19,1,1
"404",4.8,4.67,3,4,32,1,1
"405",4.2,2,2.67,4,55,0,1
"406",6,4,5,4,53,0,3
"407",2,1,1,4,35,0,3
"408",4.2,2.33,3.33,5,40,0,1
